Name	Pitch	Cost	Power	Defense	Types	Card Keywords	Ability and Effect Keywords	Class
Oaken Old	1	3	7	3	Elemental, Action, Attack	Earth and Ice Fusion, Dominate		Guardian
Oasis Respite	1, 2, 3	1			Instant			Generic
Oath of Steel	1	0		3	Action	Go again		Warrior
Oath of the Arknight	1, 2, 3	2		3	Action	Go again		Runeblade
Oblivion	3	0			Shadow, Instant	Legendary, Vynnset Specialization		Runeblade
Ode to Wrath	2	4			Light, Instant, Aura	Spectra		Illusionist
On a Knife Edge	2	0		2	Action	Go again		Generic
One-Two Punch	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo		Ninja
Open the Center	1, 2, 3	2	3, 4, 5	3	Action, Attack	Combo, Go again, Dominate		Ninja
Open the Flood Gates	1, 2, 3	2		3	Action	Surge		Wizard
Optekal Monocle	3	0			Action, Item		Opt 1, Go again	Mechanologist
Orihon of Mystic Tenets	3	4			Instant	Legendary		Mystic
Out Muscle	1, 2, 3	3	4, 5, 6	2	Action, Attack	Go again		Generic
Out Pace	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost		Mechanologist
Out for Blood	1, 2, 3	1		3	Attack Reaction	Reprise		Warrior
Outland Skirmish	1, 2, 3	0		3	Action	Go again		Warrior
Ouvia			1		Draconic, Dragon, Ally	Transform		Illusionist
Over Flex	1, 2, 3	1		2	Action	Reload, Go again		Ranger
Over Loop	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Over the Top	1, 2, 3	3	4, 5, 6	3	Action, Attack	Overpower		Guardian
Overblast	1, 2, 3	2	3, 4, 5	3	Action, Attack			Mechanologist
Overflow the Aetherwell	1, 2, 3	0		3	Action	Surge		Wizard
Overload	1, 2, 3	0	1, 2, 3	2	Action, Attack	Dominate, Go again		Generic
Overload Script	1	0			Action, Item	Crank		Mechanologist
Overpower	1, 2, 3	3		3	Attack Reaction	Reprise		Warrior
Pack Call	1, 2, 3	3	5, 6, 7	3	Action, Attack			Brute
Pack Hunt	1, 2, 3	2	4, 5, 6	3	Action, Attack	Intimidate		Brute
Panel Beater	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Parable of Humility	2	4			Light, Instant, Aura	Spectra		Illusionist
Pass Over	3	0			Instant	Legendary, Transcend		Mystic
Passing Mirage	3	0		2	Action, Aura	Spectra		Illusionist
Path Well Traveled	3	0			Instant	Legendary, Transcend		Mystic
Pathing Helix	1, 2, 3	0	2, 3, 4	3	Action, Arrow, Attack			Ranger
Pay Day	3	0		3	Action			Assassin
Pay Up	1	3	6	3	Action, Attack	Overpower		Generic
Payload	1, 2, 3	2	4, 5, 6	3	Action, Attack	Dominate		Mechanologist
Peace of Mind	1, 2, 3	2			Instant			Generic
Pedal to the Metal	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Pendulum Trap	2	0		3	Defense Reaction, Trap			Ranger
Penetration Script	2	1			Action, Item	Crank		Mechanologist
Perennial Aetherbloom	1, 2, 3	0		3	Action	Surge		Wizard
Performance Bonus	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Generic
Persuasive Prognosis	3	0	1	3	Action, Attack	Stealth		Assassin
Phantasmaclasm	1	3	9	3	Action, Attack	Phantasm		Illusionist
Phantasmal Haze	1, 2, 3	3	6, 7, 8	3	Action, Attack	Phantasm		Illusionist
Phantasmal Symbiosis	2	1	6	3	Action, Attack	Phantasm		Illusionist
Phantasmify	1, 2, 3	1		2	Action	Go again		Illusionist
Phantom Tidemaw	3	0			Instant, Aura	Phantasm, Ward 1		Illusionist
Phoenix Flame	1	0	0		Draconic, Action, Attack	Go again		
Phoenix Form	1	0	3	3	Draconic, Action, Attack	Go again		Ninja
Photon Rush	1, 3	0	1, 3	3	Elemental, Action, Attack	Lightning Flow, Go again		Runeblade
Photon Splicing	1, 2, 3	1		3	Action		Amp 1	Wizard
Pick a Card, Any Card	1, 2, 3	0		2	Action	Go again		Generic
Pick to Pieces	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Pierce Reality	3	0		2	Action, Aura	Spectra		Illusionist
Piercing Shadow Vise	1, 2, 3	2	2, 3, 4	3	Shadow, Action, Attack	Blood Debt		Runeblade
Pint of Strong and Stout	3	0		2	Action	Go again		Guardian
Pitfall Trap	2	0		3	Defense Reaction, Trap			Ranger
Plague Hive	2				Resource, Gem	Legendary		Assassin, Ranger
Plan for the Worst	3	0		3	Action			Ranger
Plasma Mainline	1	2			Action, Item			Mechanologist
Plasma Purifier	1	2			Action, Item		Go again	Mechanologist
Plow Through	1, 2, 3	1		3	Action	Go again		Warrior
Plow Under	2	2	2	3	Earth, Action, Attack	Decompose		
Plunder Run	1, 2, 3	0		2	Action	Go again		Generic
Plunder the Poor	1, 2, 3	0	2, 3, 4	3	Action, Attack	Contract		Assassin
Plunge	1, 2, 3	1	1, 2, 3	2	Action, Attack	Go again		Assassin, Ninja
Point the Tip	1, 2, 3	0		2	Action	Go again		Ranger
Poison the Tips	2	0		2	Action	Reload, Go again		Ranger
Poison the Well	3	0			Instant			Generic
Polar Blast	1, 2, 3	1		2	Ice, Action	Go again		
Polar Cap	1, 2, 3	2		3	Elemental, Action	Ice Fusion		Wizard
Polarity Reversal Script	1	1			Action, Item	Crank		Mechanologist
Pop the Bubble	1, 2, 3	0		3	Action	Surge		Wizard
Potion of Déjà Vu	3	0			Action, Item			Generic
Potion of Ironhide	3	0			Action, Item			Generic
Potion of Luck	3	0			Action, Item			Generic
Potion of Seeing	3	0			Action, Item			Generic
Potion of Strength	3	0			Action, Item		Go again	Generic
Pouncing Qi	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo, Go again		Ninja
Pound Town	1, 2, 3	3	5, 6, 7	3	Action, Attack	Beat Chest		Brute
Pound for Pound	1, 2, 3	3	4, 5, 6	2	Action, Attack	Dominate		Generic
Pounding Gale	1	1	5	3	Action, Attack	Combo		Ninja
Pour the Mold	1, 2, 3	0		3	Action	Go again		Mechanologist
Powder Keg	3	0			Action, Item			Mechanologist
Prayer of Bellona	2	1		3	Light, Action	Charge, Go again		Warrior
Precision Press	1, 2, 3	1		3	Action	Go again		Warrior
Predatory Assault	1, 2, 3	2	4, 5, 6	3	Action, Attack	Dominate		Brute
Predatory Streak	1, 2, 3	0		2	Action	Go again		Ninja
Premeditate	1	0		2	Action	Go again		Generic
Preserve Tradition	3	0			Instant	Legendary, Transcend		Mystic
Primed to Fight	1	5	9	3	Action, Attack			Guardian
Primeval Bellow	1, 2, 3	0		3	Action	Go again		Brute
Prismatic Lens	2	1			Action, Item	Crank		Mechanologist
Prismatic Leyline	2	0		3	Action	Go again		Generic
Prismatic Shield	1, 2, 3	3			Instant			Illusionist
Prognosticate	1, 2, 3	0		3	Action	Surge, Opt 1		Wizard
Promise of Plenty	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Generic
Prowl	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Pry	1, 2, 3	0		3	Action			Wizard
Pulping	1, 2, 3	2	4, 5, 6		Action, Attack	Dominate, Go again		Brute
Pulse of Candlehold	2	0		3	Earth, Lightning, Action	Legendary, Go again		
Pulse of Isenloft	3	2		6	Ice, Earth, Defense Reaction	Legendary		
Pulse of Volthaven	1	0			Lightning, Ice, Instant	Legendary		
Pulsewave Harpoon	1	1	4	3	Action, Attack	Boost		Mechanologist
Pulsewave Protocol	2	3	6	3	Action, Attack	Evo Upgrade		Mechanologist
Pulsing Aether // Life	1	1		3	Action, Earth, Instant	Meld		Wizard
Pulverize	1	10	14	3	Action, Attack	Heave 3		Guardian
Pummel	1, 2, 3	2		2	Attack Reaction			Generic
Puncture	1, 2, 3	1		3	Attack Reaction			Warrior
Pursuit of Knowledge	3	2	4	2	Action, Attack			Generic
Push Forward	1, 2, 3	1		3	Action	Go again		Warrior
Push the Point	1, 2, 3	1	2, 3, 4	2	Action, Attack			Generic
Putrid Stirrings	1, 2, 3	3		3	Shadow, Action	Blood Debt, Go again		Runeblade
Pyroglyphic Protection	1, 2, 3	2		2	Action, Aura			Wizard
Qi Unleashed	1, 2, 3	2	1, 2, 3	3	Action, Attack	Combo		Ninja
Quantum Processor	2	1			Action, Item	Crank		Mechanologist
Quickfire	1, 2, 3	2		2	Action	Go again		Mechanologist
Radiant Forcefield	2	0			Light, Instant, Aura			
Rage Specter	3	2		3	Action, Aura	Ward 1, Ward 6		Illusionist
Raging Onslaught	1, 2, 3	3	5, 6, 7	3	Action, Attack			Generic
Rain Razors	2	0			Instant			Ranger
Raise an Army	2	0		3	Action	Kassai Specialization, Go again		Warrior
Rake the Embers	1, 2, 3	1		2	Draconic, Action	Transform, Go again		Illusionist
Rally the Rearguard	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Ram Raider	1, 2, 3	2	4, 5, 6	3	Shadow, Action, Attack	Blood Debt, Go again		Brute
Rampant Growth // Life	2	0			Instant, Earth, Instant	Meld, Amp X		Wizard
Rapid Fire	2	0		2	Action	Reload		Ranger
Rapid Reflex	1, 2, 3	1		3	Attack Reaction			Ninja
Ratchet Up	1, 2, 3	1	3, 4, 5	2	Action, Attack	Galvanize		Mechanologist
Rattle Bones	1	2		3	Action	Go again		Runeblade
Ravenous Rabble	1, 2, 3	0	3, 4, 5	2	Action, Attack	Go again		Generic
Rawhide Rumble	1, 2, 3	2	4, 5, 6	3	Action, Attack	Beat Chest, Intimidate		Brute
Ray of Hope	2	1			Light, Instant			
Razor Reflex	1, 2, 3	1		2	Attack Reaction			Generic
Razor's Edge	1, 2, 3	0		3	Attack Reaction			Assassin
Razzle Dazzle	1, 2, 3	1	2, 3, 4	3	Action, Attack	Boost		Mechanologist
Re-Charge!	1, 2, 3	1		2	Action	Go again		Mechanologist
Read the Glide Path	1, 2, 3	0		2	Action	Opt 1, Go again		Ranger
Read the Ripples	1, 2, 3	0		2	Action, Aura	Opt 1		Wizard
Read the Runes	1, 2, 3	0		2	Action			Runeblade
Ready to Roll	3	0		3	Action	Kayo Specialization, Go again		Brute
Rebellious Rush	1, 2, 3	2	3, 4, 5	2	Draconic, Action, Attack	Go again		Ninja
Reckless Charge	3	0		3	Action	Kayo Specialization		Brute
Reckless Swing	3	0		4	Defense Reaction			Brute
Recoil	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo		Ninja
Red Hot	1	2	4	3	Draconic, Action, Attack	Dromai or Fai Specialization, Rupture		
Red in the Ledger	1	1	5	3	Action, Arrow, Attack	Azalea Specialization		Ranger
Reduce to Runechant	1, 2, 3	1		2, 3, 4	Defense Reaction			Runeblade
Reek of Corruption	1, 2, 3	2	2, 3, 4	3	Action, Attack			Runeblade
Reel In	3	X			Instant	Reload		Ranger
Regicide	3	0	3	3	Action, Attack	Legendary, Arakni Specialization		Assassin
Regrowth // Shock	3	0		3	Earth, Action, Lightning, Instant	Meld, Go again		Runeblade
Regurgitating Slog	1, 2, 3	2	4, 5, 6	2	Action, Attack	Dominate		Generic
Reincarnate	1, 2, 3	3	5, 6, 7	3	Action, Attack			Brute
Reinforce Steel	1, 2, 3	2		3	Action			Guardian
Reinforce the Line	1, 2, 3	0			Instant			Generic
Rejuvenate	1, 2, 3	1		2	Elemental, Action			
Release the Tension	1, 2, 3	0		2	Action	Go again		Ranger
Remembrance	2	0			Instant			Generic
Remorseless	1	1	5	3	Action, Arrow, Attack			Ranger
Requiem for the Damned	1	0		3	Shadow, Action	Blood Debt		Runeblade
Resounding Courage	1, 2, 3	1		3	Light, Attack Reaction			Warrior
Restless Coalescence	2	0			Instant, Aura	Ward 2		Illusionist
Rev Up	1, 2, 3	3	4, 5, 6	3	Action, Attack	Boost		Mechanologist
Revel in Runeblood	1	0		2	Action	Go again		Runeblade
Reverberate	1, 2, 3	1		3	Action			Wizard
Rewind	3	1			Instant	Negate		Wizard
Ride the Tailwind	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Ninja
Ridge Rider Shot	1, 2, 3	0	2, 3, 4	3	Action, Arrow, Attack	Opt 1		Ranger
Rift Bind	1, 2, 3	1	1, 2, 3	3	Shadow, Action, Attack	Blood Debt		Runeblade
Rift Skitter	1, 2, 3	3	2, 3, 4	3	Shadow, Action, Attack	Rune Gate, Go again, Blood Debt		Runeblade
Rifted Torment	1, 2, 3	2	2, 3, 4	3	Shadow, Action, Attack	Blood Debt		Runeblade
Rifting	1, 2, 3	2	4, 5, 6	2	Action, Attack			Generic
Righteous Cleansing	2	7	10	3	Action, Attack	Crush		Guardian
Riled Up	1, 2, 3	3	5, 6, 7	3	Action, Attack			Brute
Rip Through Reality	1, 2, 3	2	2, 3, 4	3	Shadow, Action, Attack	Go again, Blood Debt		Runeblade
Ripple Away	3	2	4	3	Action, Attack			Generic
Rise Above	1, 2, 3	2		2, 3, 4	Defense Reaction			Generic
Rise Up	1	1	3	3	Draconic, Action, Attack	Dromai or Fai Specialization, Rupture, Dominate		
Rise from the Ashes	1, 2, 3	0		2	Draconic, Action	Go again		Ninja
Rising Energy	1, 2, 3	2	4, 5, 6	2	Action, Attack			Guardian, Warrior
Rising Knee Thrust	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo, Go again		Ninja
Rising Power	1, 2, 3	2	4, 5, 6	2	Action, Attack			Brute, Guardian
Rising Resentment	1, 2, 3	0	1, 2, 3	2	Draconic, Action, Attack	Go again		Ninja
Rising Solartide	1, 2, 3	1	3, 4, 5	3	Light, Action, Attack			
Rising Speed	1, 2, 3	2	3, 4, 5	2	Action, Attack	Go again		Brute, Warrior
Rising Sun, Setting Moon	3	0			Instant	Legendary, Transcend		Mystic
Rising Tide	3	1	3	2	Action, Attack			Mystic
Rites of Lightning	1, 2, 3	1	2, 3, 4	3	Elemental, Action, Attack	Lightning Fusion, Go again		Runeblade
Rites of Replenishment	1, 2, 3	2	4, 5, 6	3	Elemental, Action, Attack	Earth Fusion		Runeblade
Roar of the Tiger	2	0		3	Action	Go again		Ninja
Rob the Rich	1, 2, 3	1	3, 4, 5	3	Action, Attack	Contract		Assassin
Rockslide Trap	3	0		2	Defense Reaction, Trap			Ranger
Rolling Thunder	1	1		3	Action	Go again		Brute
Ronin Renegade	1, 2, 3	0	1, 2, 3	2	Draconic, Action, Attack	Go again		Ninja
Rootbound Carapace	1, 2, 3	0		1, 2, 3	Earth, Defense Reaction	Decompose		
Rotary Ram	1, 2, 3	0		3	Action	Go again		Mechanologist
Rouse the Ancients	3	3	0	2	Action, Attack	Go again		Generic
Rousing Aether	1, 2, 3	2		3	Action			Wizard
Rout	1	2		3	Attack Reaction	Reprise		Warrior
Rowdy Locals	3	0	2	3	Action, Attack			Generic
Rumble Grunting	1, 2, 3	0		3	Action	Go again		Brute
Run Roughshod	3	1	5	3	Action, Attack			Brute
Run Through	2	1		3	Attack Reaction			Warrior
Run into Trouble	1			3	Block			Brute, Warrior
Rune Flash	1, 2, 3	3	2, 3, 4	3	Action, Attack	Go again		Runeblade
Runeblood Barrier	2	3		2	Action, Aura			Runeblade
Runeblood Incantation	1, 2, 3	1		2	Action, Aura	Go again		Runeblade
Runerager Swarm	1, 2, 3	0	1, 2, 3	3	Action, Attack	Go again		Runeblade
Runic Reaping	1, 2, 3	1		2	Action	Go again		Runeblade
Runic Reckoning	1	1		3	Action	Go again		Runeblade
Runic Reclamation	1	3	7	3	Action, Attack			Runeblade
Runner Runner	1	2	6	3	Action, Attack			Brute, Warrior
Rushing River	1, 2, 3	0	1, 2, 3	3	Action, Attack	Combo, Go again		Ninja
Rusted Relic	3	0			Action, Item	Arcane Barrier 1		Generic
Sack the Shifty	1, 2, 3	0	2, 3, 4	3	Action, Attack	Contract		Assassin
Sacred Art: Immortal Lunar Shrine	3	3			Instant	Legendary, Transcend		Mystic, Illusionist
Sacred Art: Jade Tiger Domain	3	3			Instant	Legendary, Transcend		Mystic, Ninja
Sacred Art: Undercurrent Desires	3	3			Instant	Legendary, Transcend		Mystic, Assassin
Salt the Wound	2	0	2	3	Action, Attack			Ninja
Salvage Shot	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Sanctuary of Aria					Rosetta, Macro			
Sand Cover	1, 2, 3	0			Draconic, Instant			Illusionist
Sand Sketched Plan	3	0		3	Action	Rhinar Specialization		Brute
Sap	1, 2, 3	0		3	Action	Surge		Wizard
Savage Beatdown	1	3	6	3	Action, Attack			Brute
Savage Feast	1, 2, 3	1	4, 5, 6	3	Action, Attack			Brute
Savage Swing	1, 2, 3	1	5, 6, 7	3	Action, Attack			Brute
Save the Thought	1, 2, 3	2			Instant			Wizard
Saving Grace	2	0		3	Light, Defense Reaction	Charge		Warrior
Scalding Rain	1, 2, 3	1		3	Action			Wizard
Scar for a Scar	1, 2, 3	0	2, 3, 4	2	Action, Attack	Go again		Generic
Scour	3	X		3	Action			Wizard
Scour the Battlescape	1, 2, 3	0	1, 2, 3	2	Action, Attack	Go again		Generic
Scout the Periphery	1, 2, 3	0		2	Action	Go again		Generic
Scramble Pulse	1, 2, 3	2	3, 4, 5	3	Action, Attack	Boost		Mechanologist
Scrap Compactor	1, 2, 3	0	1, 2, 3	3	Action, Attack	Scrap		Mechanologist
Scrap Harvester	1, 2, 3	3	4, 5, 6	3	Action, Attack	Scrap		Mechanologist
Scrap Hopper	1, 2, 3	0	1, 2, 3	3	Action, Attack	Scrap		Mechanologist
Scrap Prospector	1, 2, 3	0	1, 2, 3	3	Action, Attack	Scrap		Mechanologist
Scrap Trader	1	0		2	Action	Scrap		Mechanologist
Searing Ray	1, 2, 3	1	2, 3, 4	2	Light, Action, Attack			
Searing Shot	1, 2, 3	0	2, 3, 4	3	Action, Arrow, Attack			Ranger
Searing Touch	1	1	3	3	Draconic, Action, Attack	Rupture		
Second Strike	1, 2, 3	0	1, 2, 3	2	Lightning, Action, Attack	Go again		
Second Swing	1, 2, 3	1		3	Action	Go again		Warrior
Second Tenet of Chi: Moon	3	3	5	3	Action, Attack			Mystic
Second Tenet of Chi: Tide	3	3	5	3	Action, Attack			Mystic
Second Tenet of Chi: Wind	3	3	5	3	Action, Attack	Go again		Mystic
Security Script	3	1			Action, Item	Crank		Mechanologist
Sedate	1, 2, 3	0	1, 2, 3	3	Action, Attack	Stealth		Assassin
Sedation Shot	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Seduce Secrets	2	0			Instant			Generic
Seeds of Agony	1, 2, 3	0		2	Shadow, Action	Go again, Blood Debt		Runeblade
Seeds of Strength	2, 3	2		3	Elemental, Action	Earth Bond		Guardian
Seeds of Tomorrow	3	0			Earth, Instant			
Seek Enlightenment	1, 2, 3	1		2	Light, Action	Go again		
Seek Horizon	1, 2, 3	0	2, 3, 4	2	Action, Attack	Go again		Generic
Seek and Destroy	1	0		2	Action	Go again		Ranger
Seeping Shadows	1, 2, 3	3		2	Shadow, Action	Go again, Blood Debt		Runeblade
Seismic Stir	1, 2, 3	2		3	Action	Go again		Guardian
Semblance	3	3			Instant			Illusionist
Send Packing	2	3	6	3	Action, Attack			Brute
Shaden Death Hydra	2	6	13	3	Shadow, Action, Attack	Blood Debt		Brute
Shaden Scream	1, 2, 3	0		3	Shadow, Action	Go again		Brute
Shaden Swing	1, 2, 3	1	5, 6, 7	3	Shadow, Action, Attack	Blood Debt		Brute
Shadow Puppetry	1	0		2	Shadow, Action	Go again		
Shadow of Blasmophet	1	2	6		Shadow, Action, Attack	Blood Debt		Brute
Shadow of Ursur	3	0	2	3	Shadow, Action, Attack	Go again, Blood Debt		Runeblade
Shadowrealm Horror	1	2	6	3	Shadow, Action, Attack	Go again, Blood Debt		Brute
Shake Down	1	2	6	3	Action, Attack	Uzuri Specialization		Assassin
Sharpen Steel	1, 2, 3	0		3	Action	Go again		Warrior
Shatter	2	0		3	Attack Reaction			Warrior
Shield Bash	1, 2, 3	3		4, 5, 6	Defense Reaction			Guardian
Shield Wall	1, 2, 3	6		5, 6, 7	Defense Reaction			Guardian
Shift the Tide of Battle	2	0		3	Attack Reaction			Warrior
Shifting Winds of the Mystic Beast	3	1		3	Action	Go again		Mystic, Ninja
Shimmers of Silver	3	0		2	Action, Aura	Spectra		Illusionist
Shitty Xmas Present	2	0		2	Action			Generic
Shock Striker	1, 2, 3	1	3, 4, 5	2	Lightning, Action, Attack			
Short and Sharp	1, 2, 3	1		2	Attack Reaction			Assassin, Ninja
Show No Mercy	1	3	6	3	Action, Attack	Rhinar Specialization, Intimidate		Brute
Show Time!	3	3		3	Action, Aura	Bravo Specialization		Guardian
Shred	1, 2, 3	0		3	Attack Reaction			Assassin
Shrill of Skullform	1, 2, 3	2	2, 3, 4	3	Action, Attack			Runeblade
Sic 'Em Shot	1, 2, 3	1	2, 3, 4	3	Action, Arrow, Attack	Go again		Ranger
Sift	1, 2, 3	0		3	Action	Go again		Generic
Sigil of Aether	3	0			Instant, Aura	Amp 1		Wizard
Sigil of Brilliance	2	0			Lightning, Instant, Aura	Oscilio Specialization		Wizard
Sigil of Conductivity	3	0			Lightning, Instant, Aura	Arcane Shelter 1		
Sigil of Cycles	3	0		2	Action, Aura	Go again		Generic
Sigil of Deadwood	3	0		2	Action, Aura	Go again		Runeblade
Sigil of Earth	3	0		2	Earth, Action, Aura	Go again		
Sigil of Forethought	3	0			Instant, Aura			Wizard
Sigil of Fyendal	3	0		2	Action, Aura	Go again		Generic
Sigil of Lightning	3	0			Lightning, Instant, Aura			
Sigil of Parapets	3	1		2	Defense Reaction			Wizard
Sigil of Permafrost	1, 2, 3	1		2, 3, 4	Elemental, Defense Reaction	Ice Fusion		Wizard
Sigil of Protection	1, 2, 3	1		2	Action, Aura	Ward 4		Generic
Sigil of Sanctuary	3	0			Earth, Instant, Aura	Arcane Shelter 1		
Sigil of Shelter	2, 3	0			Instant			Guardian
Sigil of Solace	1, 2, 3	0			Instant			Generic
Sigil of Solitude	1, 2, 3	0		2	Action, Aura	Ward 4		Illusionist
Sigil of Suffering	1, 2, 3	0		1, 2, 3	Defense Reaction			Runeblade
Sigil of Temporal Manipulation	3	0			Instant, Aura			Wizard
Sigil of the Arknight	3	0		2	Action, Aura	Go again		Runeblade
Signal Jammer	3	0			Action, Item			Mechanologist
Silver the Tip	1, 2, 3	1		2	Action	Go again		Ranger
Silverwind Shuriken	3	0			Action, Shuriken, Item	Attack Reaction		Ninja
Singe	1, 2, 3	1		3	Action			Wizard
Singeing Steelblade	1, 2, 3	1	2, 3, 4	3	Action, Attack			Runeblade
Singing Steelblade	2	1		3	Attack Reaction	Dorinthea Specialization, Reprise		Warrior
Single Minded Determination	1, 2, 3	2		3	Action, Aura	Ward 2		Illusionist
Singularity	1	6		3	Action, Construct	Transform, Legendary, Teklovossen Specialization		Mechanologist
Sink Below	1, 2, 3	0		2, 3, 4	Defense Reaction			Generic
Siren's Call	1	1		3	Attack Reaction			Mystic, Assassin
Sizzle	1, 2	0		2	Lightning, Action	Go again		
Skittering Sands	1, 2, 3	0		2	Draconic, Action	Transform, Go again		Illusionist
Skull Crack	1	2	6	3	Action, Attack			Brute
Sky Fire Lanterns	1, 2, 3	0		2	Action	Go again		Runeblade
Skybound Shot	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Slap-Happy	1	0			Instant			Guardian, Warrior
Slay	1	0			Shadow, Instant			
Slay the Scholars	1, 2, 3	0	2, 3, 4	3	Action, Attack	Contract		Assassin
Sleep Dart	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Slice and Dice	1, 2, 3	0		3	Action	Go again		Warrior
Slither		0			Attack Reaction	Ephemeral		Mystic, Assassin
Slithering Shadowpede	1	1	6		Shadow, Action, Attack	Blood Debt		Brute
Sloggism	1, 2, 3	3		2	Action	Go again		Generic
Smack of Reality	1	5	9	3	Action, Attack	Tower		Guardian
Smash Instinct	1, 2, 3	3	5, 6, 7	3	Action, Attack	Intimidate		Brute
Smash Up	1	1	5	2	Action, Attack			Generic
Smash and Grab	1	3	5	3	Action, Attack			Mechanologist
Smash with Big Tree	1, 2, 3	2	5, 6, 7		Action, Attack			Brute
Smashback Alehorn	3	0		2	Action	Go again		Brute
Smashing Good Time	1, 2, 3	0		2	Action	Go again		Generic
Smashing Performance	2	3	6		Action, Attack			Brute
Snag	3	0			Instant			Generic
Snap Shot	1, 2, 3	0	2, 3, 4	3	Elemental, Action, Arrow, Attack	Lightning Fusion		Ranger
Snapback	1, 2, 3	1		3	Action			Wizard
Snatch	1, 2, 3	0	2, 3, 4	2	Action, Attack			Generic
Sneak Attack	1, 2, 3	2	1, 2, 3	2	Action, Attack			Assassin
Snow Under	1, 2, 3	3	5, 6, 7	3	Elemental, Action, Attack	Ice Fusion		Guardian
Snuff Out	1	1	5	3	Action, Attack			Runeblade
Soaring Strike	1, 2, 3	1	2, 3, 4	2	Draconic, Action, Attack	Go again		Ninja
Solitary Companion	1, 2, 3	0		2	Action, Aura	Ward 3		Illusionist
Sonata Arcanix	1	XX		2	Action	Go again		Runeblade
Sonata Fantasmia	3	XX		3	Action	Viserai Specialization		Runeblade
Sonata Galaxia	1	XX		2	Action	Go again		Runeblade
Song of Jack-be-Quick	3	0		3	Bard, Action, Song			
Song of Sweet Nectar	3	0		3	Bard, Action, Song			
Song of Yesteryears	3	0		3	Bard, Action, Song			
Song of the Rosen Matador	3	0		3	Bard, Action, Song			
Song of the Shining Knight	3	0		3	Bard, Action, Song			
Song of the Wandering Mind	3	0		3	Bard, Action, Song			
Sonic Boom	2	2		3	Action			Wizard
Soul Butcher	1, 2, 3	2	4, 5, 6	2	Shadow, Action, Attack	Blood Debt		
Soul Cleaver	1, 2, 3	2	4, 5, 6	2	Shadow, Action, Attack	Blood Debt, Go again		
Soul Food	2	0		2	Light, Action			
Soul Harvest	3	6	6	3	Shadow, Action, Attack	Legendary, Levia Specialization		
Soul Reaping	1	6	6	3	Shadow, Action, Attack	Legendary, Chane Specialization, Go again		
Soul Shield	2	2		6	Light, Defense Reaction			
Soulbead Strike	1, 2, 3	0	2, 3, 4	3	Action, Attack	Go again		Ninja
Soup Up	1, 2, 3	0	2, 3, 4	2	Action, Attack	Go again, Galvanize		Mechanologist
Sow Tomorrow	1, 2, 3	1		2	Earth, Action	Go again		
Spark Spray	2, 3	0	2, 3	2	Lightning, Action, Attack			
Spark of Genius	2	XX		3	Action	Dash Specialization		Mechanologist
Spears of Surreality	1, 2, 3	1	3, 4, 5	3	Action, Attack	Phantasm, Go again		Illusionist
Spectral Manifestations	1, 2, 3	2		2	Action	Go again		Illusionist
Spectral Procession	1	0	*	3	Action, Attack	Phantasm		Illusionist
Spectral Prowler	1, 2, 3	0	2, 3, 4	3	Action, Attack	Go again, Phantasm		Illusionist
Spectral Rider	1, 2, 3	3	6, 7, 8	3	Action, Attack	Overpower, Phantasm		Illusionist
Spellblade Assault	1, 2, 3	2	2, 3, 4	3	Action, Attack			Runeblade
Spellblade Strike	1, 2, 3	1	2, 3, 4	3	Action, Attack			Runeblade
Spew Shadow	1, 2, 3	2		2	Shadow, Action	Go again		
Spike Pit Trap	3	0		3	Defense Reaction, Trap	Legendary, Riptide Specialization		Ranger
Spike with Bloodrot	1	1		3	Attack Reaction			Assassin
Spike with Frailty	1	1		3	Attack Reaction			Assassin
Spike with Inertia	1	1		3	Attack Reaction			Assassin
Spill Blood	1	1		3	Action	Go again		Warrior
Spillover	3	2	4	2	Action, Attack			Mystic
Spinal Crush	1	5	9	3	Action, Attack	Crush		Guardian
Spinning Wheel Kick	1, 2, 3	1	2, 3, 4	2	Action, Attack	Combo, Go again		Ninja
Spire Sniping	1, 2, 3	1	3, 4, 5	3	Action, Arrow, Attack			Ranger
Spirit of Christmas	3	0		3	Action	Go again		Generic
Spirit of Eirina	2	0			Light, Action, Item	Legendary		Warrior
